ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Classify_Row7,Location_Center_X,Location_Center_Y,Number_Object_Number
2,11,1554,288.0,234.0,1.0,1.2615184845665877,0.3508613060570735,3.0,0.5152519893899205,0.13072056118044678,51.54206097836567,64.35060217278468,12.649110640673518,3.8896408875253634,3.0,49.193495504995376,48.265400036153316,-17.64018807689044,386.507999999999,0.6827768014059754,0,0,0,1,0,0,0,0,296.13256113256114,228.85135135135135,11
2,12,531,390.0,217.0,1.0,3.0096789827890102,0.7016498159614021,14.0,0.23299692847740236,0.06137889582387688,51.93234587677582,52.773099207835045,4.0,1.5711505297650894,1.4142135623730951,40.465569214712836,37.00293659014794,84.8721181186648,329.71799999999894,0.32299270072992703,0,0,0,1,0,0,0,0,382.69868173258004,220.8060263653484,12
2,13,1810,117.0,323.0,1.0,1.001713646328796,0.3049417950350076,1.0,0.7859313938341294,0.891041575619389,49.17872287782922,48.84669896727925,23.08679276123039,8.190964345988954,7.211102550927978,46.0,46.83638896949465,-84.98675669559148,159.76999999999992,0.9673971138428649,0,0,0,0,1,0,0,0,117.09116022099448,322.20883977900553,13
2,14,1580,203.0,324.0,1.0,1.0167666649088487,0.3119415340960238,1.0,0.7470449172576832,0.5559493946342825,46.350148396071454,49.09175083453431,18.973665961010276,6.700426929230725,5.830951894845301,44.0,44.0373362229846,-86.68747206724916,188.97999999999982,0.928319623971798,0,0,0,0,1,0,0,0,204.61708860759492,321.65569620253166,14
2,15,1618,288.0,324.0,1.0,1.217816012786916,0.4740990885899867,4.0,0.5004639653572533,0.1338932780694042,53.13235474248263,68.8839603971781,12.727922061357855,4.06109942559638,3.0,48.79036790187178,46.78152383382154,-40.599611067326336,389.6859999999988,0.6747289407839867,0,0,0,0,1,0,0,0,295.65636588380715,322.1087762669963,15
2,16,882,412.0,323.0,1.0,2.9559513316317294,0.6228597016355005,13.0,0.28654970760233917,0.05407685337462744,64.11936432909633,56.142675390472796,5.0990195135927845,1.8639622562771068,1.4142135623730951,49.27488969138704,50.16273027268926,-0.1878091020673824,452.72399999999857,0.38940397350993383,0,0,0,0,1,0,0,0,388.437641723356,321.3424036281179,16
2,17,1627,117.0,413.0,1.0,1.0013102953912887,0.22258042880321166,1.0,0.7859903381642512,0.8847929855151068,46.09989327773676,45.803929962395145,21.93171219946131,7.7456143271271465,6.708203932499369,44.0,44.94344661225347,-84.70388984615374,152.012,0.9664389664389665,0,0,0,0,0,1,0,0,117.16902274124155,412.7523048555624,17
2,18,1619,208.0,416.0,1.0,1.0140907295861126,0.2374670367960362,2.0,0.6399209486166008,0.6192720991640929,46.36005097498156,54.037024344425184,21.213203435596427,7.470879862194112,6.4031242374328485,44.54772721475249,45.03394940725887,-26.34151606394021,181.25399999999985,0.8669344042838021,0,0,0,0,0,1,0,0,207.550339715874,416.1951822112415,18
2,19,1743,295.0,413.0,1.0,1.0242438309223283,0.35299086476027,1.0,0.7410714285714286,0.47652094783707283,49.20994372860187,49.39635614091387,19.209372712298546,6.749376965104191,5.830951894845301,47.0,46.04214061471153,-83.14422808620988,214.39399999999966,0.9137614678899082,0,0,0,0,0,1,0,0,297.9294320137694,414.1342512908778,19
2,20,277,374.0,400.0,1.0,3.864084822745469,0.515313490923101,10.0,0.1840531561461794,0.09764473909426785,39.64429395138657,45.69463863518345,3.605551275463989,1.5288336882679354,1.4142135623730951,30.93320307989039,33.97522944580487,-50.6006060864097,188.8079999999998,0.26169107227208316,0,0,0,0,0,1,0,0,381.14440433212997,408.48736462093865,20
2,21,1720,120.0,509.0,1.0,1.001669179942777,0.2670802157533174,1.0,0.7786328655500226,0.8947278801750295,47.67192016918488,47.80167361086848,22.360679774997898,7.98004311238652,7.035533905932738,45.61578674099571,45.94020434501463,-88.63362384369842,155.426,0.9657495788882651,0,0,0,0,0,0,1,0,119.78372093023256,509.3046511627907,21
2,22,1684,208.0,510.0,1.0,1.0040720628336663,0.26875982002030346,1.0,0.7796296296296297,0.8076226416966903,47.238859493837744,49.57822102496216,21.95449840010015,7.757245797101768,7.0,44.0,45.50081078607888,-77.72312467372582,161.87199999999996,0.954378010767923,0,0,0,0,0,0,1,0,208.5023752969121,510.31828978622326,22
2,23,919,292.0,515.0,1.0,1.8795300711223213,0.39543013739661553,7.0,0.32588652482269503,0.06026444491464931,48.82116875066096,60.876925020897694,6.0,1.9483529862913171,1.4142135623730951,44.47074385282452,44.84205098801135,-88.00915033985754,437.7559999999989,0.4786458333333333,0,0,0,0,0,0,1,0,297.8052230685528,507.75734494015234,23
2,24,414,381.0,497.0,1.0,3.1787105659944257,0.8050879905824394,6.0,0.2793522267206478,0.11491187858733079,49.77656304371825,45.48626166217664,4.123105625617661,1.7072447065166634,1.4142135623730951,30.10344827586207,29.525237115440405,-49.79443557409731,212.77599999999967,0.41670860593860093,0,0,0,0,0,0,1,0,389.6231884057971,507.81159420289856,24
2,25,1790,120.0,601.0,1.0,1.0017677338870155,0.2784121788853756,1.0,0.7769097222222222,0.9009127947706187,48.71087344523227,48.76474136094644,23.08679276123039,8.142508679495466,7.0710678118654755,45.8530260724415,46.784927848097226,-81.16790693913828,158.01199999999994,0.969139144558744,0,0,0,0,0,0,0,1,119.8608938547486,600.6458100558659,25
2,26,1738,210.0,604.0,1.0,1.0023167740740835,0.263064684303188,1.0,0.7703900709219859,0.8381324686485445,47.90923686011429,48.33218389437829,22.135943621178654,7.865313345837837,7.0,45.867317458194684,46.22178721877303,-75.23929811267229,161.42599999999993,0.9586321014892443,0,0,0,0,0,0,0,1,209.57537399309552,603.8296892980437,26
2,27,966,285.0,593.0,1.0,1.8708694946191924,0.3910682481863171,3.0,0.4772727272727273,0.08626184950999513,49.889914103051304,48.27007354458868,5.0,2.0282524594824842,2.0,43.0,45.916765246973625,78.81852128098433,375.13199999999904,0.5895636252670126,0,0,0,0,0,0,0,1,301.6904761904762,601.743271221532,27
2,28,364,376.0,584.0,1.0,5.463896263190561,0.7716950517853164,12.0,0.2038073908174692,0.08382058698521408,60.01054800385222,49.678969393496885,4.123105625617661,1.6199784267146267,1.4142135623730951,35.68002410389559,38.166271991320905,79.08440921959904,233.6039999999996,0.24058162590879048,0,0,0,0,0,0,0,1,388.5274725274725,596.532967032967,28
