"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
" 8136.911"," 4221.952"," 5400.708"," 4854.364"," 1161.664","31379.039"," 3766.076"," 2219.646"," 1731.606"," 6282.325"," 6855.071"," 6242.913","10375.919"," 9452.743"," 2107.339"," 1759.958"," 3501.191"," 1512.203"," 3608.835"," 3131.655"," 7673.295"," 2253.491"," 1662.364"," 2509.282","13515.688"," 4612.248"," 3399.018"," 2081.751"," 3302.852"," 2459.358"," 3458.152"," 5980.442"," 3755.755"," 4086.395"," 3493.066"," 3436.058"," 1372.169"," 2285.266"," 5492.559"," 3396.442"," 2696.766"," 7553.516"," 3162.226"," 2268.094"," 7312.853"," 6429.583"
" 6698.167"," 2208.162"," 5851.815"," 1440.443"," 4043.026","12339.502"," 7597.432","14144.299"," 1542.546"," 1589.569"," 4126.955"," 6773.395"," 1951.991"," 9452.743","14609.400"," 2250.485"," 3677.800"," 8022.435"," 3247.906"," 1667.221"," 3417.042"," 5312.327"," 2668.804"," 3451.280"," 1939.303"," 1285.556"," 9231.222"," 3953.938"," 4610.315"," 4648.844"," 2362.767"," 1638.324"," 3852.485"," 3108.972"," 1278.772"," 5525.240"," 5074.131"," 2540.526"," 8212.276"," 2225.222"," 3224.384"," 6863.274"," 2451.444"," 4527.736"," 6671.361"," 3649.518"
" 3447.1557"," 4020.0588"," 3384.6759"," 3549.6500"," 2331.3885","14379.2297"," 3271.8987","14144.2987"," 2575.5391","14431.0319"," 4423.1253"," 6242.9126","14417.9114"," 3807.5574"," 2361.8182","  853.7153"," 3487.1127"," 4486.7884"," 2598.7308"," 4347.9524"," 2002.3057"," 6557.6116"," 2020.7143"," 2980.8000"," 2297.8091",," 3134.8538"," 3180.1882"," 1732.2793"," 3507.8045"," 4250.2447"," 5272.8920"," 4818.4071"," 1955.5625"," 4358.9773"," 5041.3156"," 2597.5669"," 5554.8679"," 6839.8846"," 4007.1072"," 2819.6040"," 2572.2495"," 3529.0520"," 3710.4559"," 6683.5234"," 3636.7905"
" 1160.2680"," 4056.6955"," 4098.3569"," 8998.0047"," 5124.1861"," 2237.6629"," 3601.1893"," 2456.0034"," 2711.0409"," 3352.9487"," 1417.4879"," 4153.8193"," 3093.7785"," 4743.5081","16789.5097"," 8456.4026"," 3816.5503"," 1211.8405"," 5133.0434"," 1502.5688"," 3411.2545"," 2668.9752"," 2262.7015"," 3308.2733"," 2787.9673",," 4104.9648"," 2697.7401"," 1740.2117"," 2065.3714"," 1425.7364"," 1233.8188"," 3554.0455"," 1562.1033"," 2760.6875","  959.8303"," 3200.7018"," 4849.8579"," 8291.7143"," 7983.6548","17398.1287"," 4528.4758"," 4047.8889"," 4148.7075"," 5159.4885"," 3650.5122"
" 1090.286"," 2041.431"," 1856.478"," 2916.814"," 3885.983"," 1554.600"," 2597.249"," 3046.096"," 3452.033","12388.976"," 5418.522"," 7084.972","16154.856","11896.490"," 2833.639"," 3464.086"," 1368.721"," 8505.078"," 1551.400"," 1379.324"," 5194.219"," 4926.047"," 5964.202"," 1629.826"," 7240.109",," 8690.511"," 2243.150"," 1416.963"," 1567.965"," 4032.546"," 1248.614"," 1993.801"," 4329.236"," 2349.610"," 1632.302"," 5639.651"," 5228.822"," 7982.171"," 3958.091"," 1769.183"," 5386.831"," 2671.142","12721.772"," 6352.782"," 2594.747"
" 2411.210"," 5816.765"," 2745.100"," 4778.769"," 1913.791"," 2366.506"," 1612.064"," 3589.623"," 1720.835","10161.933"," 3243.930"," 7560.550"," 6298.794","13197.507"," 2346.830"," 2632.864"," 4057.062"," 4347.633"," 2396.197"," 1341.062"," 2108.053"," 4476.139"," 1207.956"," 2952.350"," 3725.160",," 3291.042"," 2636.776"," 1227.586"," 5566.140"," 1475.072"," 2365.106"," 2546.823"," 3642.568"," 4623.398"," 2617.394"," 4876.868","12145.116"," 8665.792"," 6771.946"," 6218.777"," 6912.614"," 9440.407"," 2469.178"," 3270.948","13214.375"
" 2364.262"," 9522.632"," 5434.083"," 8882.729"," 1671.161"," 3844.841"," 4827.374"," 6207.000"," 4255.875","13767.024"," 9631.654"," 8654.635","11709.093"," 2157.569"," 2977.063"," 1656.893"," 3520.957"," 5474.556"," 8874.957"," 1502.442"," 3492.785"," 5011.599"," 4479.309"," 4256.495"," 1126.452",," 2615.246"," 1805.613"," 6350.250"," 5647.474"," 4688.318"," 1668.755"," 1864.657"," 2129.324"," 1578.842"," 3747.690"," 7018.320"," 2516.906"," 4590.089"," 3158.349"," 1937.384"," 2427.113"," 4740.513"," 6550.647"," 8842.361"," 6255.183"
" 2027.581"," 5536.195"," 2536.098"," 5364.690"," 3206.000"," 2630.415"," 6310.253"," 6305.298"," 3118.091","19790.122"," 1939.653"," 6233.918"," 2499.879"," 5806.216"," 2811.263"," 5148.787"," 5499.445"," 6523.480"," 1634.411"," 2047.073"," 1819.445"," 1835.481"," 4257.872"," 2378.467"," 3832.596",," 1241.398"," 1489.282"," 4258.848"," 2814.405"," 8199.736"," 1885.534"," 5014.737"," 2064.957"," 5617.634"," 3699.726"," 4140.947","14863.863"," 5884.026"," 6195.042"," 2839.655","11886.566"," 6338.115","14708.996","13350.961"," 6026.347"
" 2490.833"," 7612.946"," 7679.775"," 2534.459"," 1578.588","10540.636"," 4835.332"," 7269.182"," 4143.425","19790.122"," 2040.048","13311.187"," 5386.832","10379.907"," 7695.905","10007.358"," 1351.092"," 8359.050"," 2635.577"," 2912.469"," 3402.598"," 3424.077"," 6442.151"," 3013.358"," 1620.733",," 1348.978"," 2012.091"," 2682.256"," 4067.318"," 3489.372"," 2867.022","16271.752"," 4494.931"," 3318.849"," 3959.015"," 4110.467"," 3835.462"," 6810.163"," 2637.390"," 3330.104"," 7029.851"," 4067.913"," 4124.008"," 2591.280"," 2957.197"
" 2209.624"," 4870.833"," 5157.283"," 4766.186"," 2047.946"," 4312.300"," 4880.892"," 4410.618"," 3520.923","13822.675"," 5632.313"," 1105.232"," 7519.919"," 4976.282"," 2490.150"," 1939.152"," 6086.462"," 9855.236"," 6515.091"," 2864.209"," 5121.245"," 1680.258"," 3951.222"," 4535.469"," 2584.347",," 2868.215"," 1132.306"," 3048.655"," 5695.781"," 2609.286"," 1546.588"," 2566.452"," 7014.512"," 3615.261"," 1783.249"," 3074.505"," 8643.529"," 1829.865","13578.909"," 2633.687"," 1532.672"," 4998.479"," 6133.932"," 3830.328"," 4536.380"
