"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"9ArrD 316 Git1GFPA_003","9ArrD 316 Git1GFPA_004","9ArrD 316 Git1GFPA_005","9ArrD 316 Git1GFPA_006","9ArrD 316 Git1GFPA_008","9ArrD Aiy1 Git1GFPA_003","9ArrD Aiy1 Git1GFPA_004","9ArrD Aiy1 Git1GFPA_005","9ArrD Aiy1 Git1GFPA_006","9ArrD Aiy1 Git1GFPA_007","9ArrD Aiy1 Git1GFPA_008","9ArrD Aly2 Git1GFPA_003","9ArrD Aly2 Git1GFPA_004","9ArrD Aly2 Git1GFPA_008","9ArrD Csr2 Git1GFPA_002","9ArrD Csr2 Git1GFPA_003","9ArrD Csr2 Git1GFPA_004","9ArrD Csr2 Git1GFPA_006","9ArrD Csr2 Git1GFPA_007","9ArrD Ecm21 Git1GFPA_003","9ArrD Ecm21 Git1GFPA_006","9ArrD Ecm21 Git1GFPA_007","9ArrD Ldb19 Git1GFPA_003","9ArrD Ldb19 Git1GFPA_005","9ArrD Ldb19 Git1GFPA_008","9ArrD Rod1 Git1GFPA_002","9ArrD Rod1 Git1GFPA_005","9ArrD Rod1 Git1GFPA_008","9ArrD Rod1 Git1GFPA_011","9ArrD Rog3 Git1GFPA_003","9ArrD Rog3 Git1GFPA_005","9ArrD Rog3 Git1GFPA_006","9ArrD Ylr392c Git1GFPA_003","9ArrD Ylr392c Git1GFPA_005","9ArrD Ylr392c Git1GFPA_007","9ArrDYgr068c Git1GFPA_005","9ArrDYgr068c Git1GFPA_006","9ArrDYgr068c Git1GFPA_007","WT 316 Git1GFPA_002","WT 316 Git1GFPA_003","WT 316 Git1GFPA_004","WT 316 Git1GFPA_005","WT 316 Git1GFPA_006","WT 316 Git1GFPA_007","WT 316 Git1GFPA_008","WT 316 Git1GFPA_009"
"18949.806"," 8974.423","13906.315","12813.831"," 3299.442","29406.010"," 7212.516"," 4240.832"," 3066.292","10007.081","12980.494"," 7001.156","10336.087"," 9308.959"," 4305.171"," 5569.031","10580.310"," 4439.161"," 7956.422","10593.359","17679.435"," 6213.341"," 3600.200"," 5019.258","24343.913","14414.699"," 7185.065"," 5637.809"," 9652.032"," 9498.190"," 8804.792","12495.848","11503.344","12187.620","11224.305"," 9079.704"," 3608.858"," 4989.795"," 7991.713"," 4978.676"," 3838.648","12403.170"," 4366.298"," 2884.859","10226.000"," 6786.006"
"18093.186"," 4609.558","14659.205"," 3839.007","11669.701","22305.683","10690.857","19340.442"," 2953.181"," 3841.285","11922.279"," 4227.696"," 3096.337","10263.975","24540.136"," 5846.138","10957.711","16371.236","11003.392"," 5480.682","10042.902"," 9957.116"," 6955.003","11359.723"," 3107.190"," 4598.962","14894.942","12985.441","12007.582","10441.258"," 6930.378"," 3431.556","12489.796"," 4468.769"," 3438.516","15461.858","16107.184"," 7030.823","16645.405"," 2935.570"," 4528.849"," 9969.868"," 3140.716"," 6051.602","12375.504"," 5177.285"
" 8083.406"," 8987.921"," 8112.700"," 7463.024"," 4981.775","14959.287"," 5878.346","14702.594"," 5673.811","15635.633"," 7448.199"," 6459.589","12713.487"," 7387.644"," 8470.235"," 2568.519","10131.212"," 9884.615"," 6853.027"," 6592.547"," 6527.102","17213.730"," 5681.505"," 7970.570"," 4815.364",," 8469.818"," 7123.855"," 5301.026","11228.298"," 8653.407","14226.117","14611.761"," 3923.532","12935.801","13920.950"," 7761.687","16635.198","10914.997"," 7330.738"," 3149.779"," 3395.713"," 3196.142"," 4297.320"," 6294.365"," 7496.494"
" 2902.743"," 8855.317"," 9968.910","15913.697","12652.792"," 4696.012"," 6638.525"," 6647.323"," 6994.466"," 7029.854"," 3551.454"," 4754.810"," 6835.479","10954.557","16943.525"," 9143.438","12908.382"," 3308.311"," 6605.744"," 4471.602","11068.179"," 4169.656"," 6435.488"," 8824.408"," 5506.086",,"11726.268"," 9329.595"," 5965.971"," 7064.774"," 4678.882"," 3746.818","12005.747"," 5537.503"," 8284.592"," 2643.799"," 8550.356","11042.019"," 7053.885"," 9694.831","18498.157"," 3929.794"," 3827.348"," 5340.549"," 7809.259"," 7601.488"
" 2728.241"," 3602.000"," 4523.204"," 8252.698","10288.110"," 2443.921"," 6019.884"," 4230.275"," 8716.775","22925.741","12606.544","17799.934","15671.405"," 9506.872"," 5411.674","11033.426"," 4844.204","21082.751"," 3373.000"," 5066.398","13757.789","17445.818","16789.442"," 4179.274","13322.358",,"19429.112"," 6410.899"," 4032.220"," 4845.006","12366.169"," 4260.739"," 4351.389","15212.623"," 2735.069"," 3365.982","14759.965","14399.800"," 8089.375"," 5460.913"," 3024.259"," 7022.116"," 3030.607","18610.118"," 9562.197"," 2761.743"
" 6369.201"," 9200.971"," 6885.509"," 9522.153"," 5750.141"," 5912.783"," 3331.465","11331.621"," 4559.143","22026.892","10761.502"," 6384.143"," 7301.674","13979.805"," 7180.299"," 8251.595","11717.648","14153.956"," 7589.661"," 3359.168"," 4036.042","11497.161"," 2744.924"," 8907.816"," 7974.305",," 6324.195"," 6644.222"," 3176.297","14512.068"," 3258.766"," 8370.543"," 5995.983"," 9668.576","12225.405","10843.738","14345.020","21919.501","12666.902"," 7266.107"," 7718.600"," 6320.480","13018.688"," 3764.362"," 5203.553","13819.539"
" 7785.186","22416.364","12558.413","21419.229"," 2625.986","10872.678"," 6177.542"," 6338.959"," 4321.452","15594.995","19702.815","19602.766","11682.498"," 3742.805"," 7696.341"," 5729.065","11880.833"," 6994.578","20037.741"," 2709.015"," 9894.782","14700.321","11515.260","12835.894"," 3289.510",," 7676.723"," 4932.156","13777.791","18959.897","12740.961"," 5583.517"," 4097.819"," 5588.577"," 3843.703","12465.275","16120.418"," 7786.182"," 6851.252"," 4771.038"," 3130.880"," 3375.614"," 6020.693","11956.418","11621.131"," 9210.090"
" 5322.248","11453.403"," 5067.745","11538.359"," 6035.195"," 5061.717","16013.239","13573.524"," 6045.909","20467.589"," 4334.477","13982.292"," 3226.170"," 5748.167"," 8284.806","13626.353","14148.429","18334.604"," 4639.950"," 6840.836"," 5741.996"," 3961.994","11538.199"," 7603.676"," 7923.529",," 3401.243"," 4605.107","12049.189"," 8169.107","21886.323"," 5409.539","16118.918"," 8171.195","10687.643","10349.327","10187.202","24874.012"," 9338.205"," 6754.189"," 3933.655"," 9746.862"," 6876.534","15530.690","12474.102"," 4687.089"
" 4565.148","19840.941","15880.826"," 3772.789"," 4574.799","22689.270"," 9216.368","14587.848","11093.406","21143.843"," 3832.087"," 6544.312","10265.954","10615.869","19694.143","21981.476"," 4937.885","20270.671"," 5090.028"," 3071.277"," 8383.719"," 6334.829","13882.120"," 7912.937"," 4556.553",," 3587.933"," 5483.523"," 8770.116","14223.895","13026.787"," 8315.582","21332.172","12772.116"," 6229.526","10442.508","14943.144"," 9857.412","11116.994"," 3945.278"," 5648.115"," 8027.305"," 6426.948"," 7810.478"," 3523.086"," 4152.339"
" 5112.425"," 5969.328","14872.685"," 8971.193"," 5647.865","11585.000","10350.577","10470.531"," 8834.337","26040.568"," 9266.733"," 2522.222","13340.035"," 7543.041"," 9070.217"," 5516.559","17579.172","23544.360","11793.253"," 8635.546","16949.363"," 4674.438","10370.751","14676.236"," 8972.864",," 8649.989"," 3710.200"," 8941.050","13744.687"," 4615.692"," 3730.458"," 8432.661","19207.567"," 7995.342"," 5260.988"," 7174.709","18783.151"," 3160.212","18482.401"," 3401.731"," 2569.810"," 6804.880"," 6541.048"," 6397.043"," 5233.496"
